content_category,total_creators,avg_followers,avg_median_views,avg_engagement,median_price,median_cpv,avg_broadcast_score,avg_commerce_score,avg_collab_score
Entertainment,764,1927006.383890317,333091.0385604113,7.703187660668381,7000000.0,42.34297812279464,94.05410733844468,95.12058823529412,79.33222891566265
Beauty & Personal Care,421,2111599.069478908,351903.66873449134,6.428858560794044,9319688.0,48.3856756598901,94.58047690014904,95.09333333333333,80.95300375469337
Lifestyle,353,1906398.5751295337,303833.5492227979,6.414339378238342,7957359.0,45.2466927592955,93.85207612456747,94.16363636363636,79.12545691906006
Food & Beverage,197,1946862.5448028673,408192.1146953405,5.086756272401433,10000000.0,40.04980823529412,93.98125,93.904,78.55501792114694
Fashion,161,2067072.1674876846,394129.5911330049,6.783251231527093,8801191.0,48.87504970582268,95.05058479532164,94.27058823529411,80.6847290640394
Family & Relationship,158,1914643.3333333333,390181.06153846154,5.384948717948718,10000000.0,43.3012599160056,93.66052631578947,94.53333333333333,79.70564102564103
Technology,136,2036880.7453416148,295332.9192546584,5.530962732919255,9319688.0,48.17882109902217,94.71217391304347,93.17037037037036,80.47018633540372
Sports & Fitness,118,2084321.111111111,292501.48148148146,5.232814814814814,8113979.0,47.68731861198738,93.82142857142857,94.512,80.01692307692308
Gaming,105,2271216.115702479,408745.86776859505,6.289752066115703,6000000.0,34.089960029607695,94.58076923076922,94.65185185185184,82.63708333333334
Commerce & Review,101,2277112.871287129,375345.9653465347,5.651584158415841,10000000.0,40.52837611768099,94.09746835443038,95.2421052631579,80.23514851485149
Home & Living,58,2463136.290322581,403651.6129032258,4.64475806451613,10000000.0,41.20787552253756,93.57374999999999,93.76,79.73225806451612
News & Social Issues,43,3103702.3255813955,140770.93023255814,5.031511627906976,5881982.0,64.8030739673391,93.556,91.46666666666665,78.63717948717948
Travel & Outdoor,38,1814809.2105263157,311436.84210526315,5.136447368421052,12500000.0,53.32851994177088,94.63148148148149,94.85714285714286,79.77837837837838
Business & Finance,37,2402465.3846153845,452719.23076923075,5.411794871794872,5642652.0,39.13603125,94.3826923076923,94.1,78.45256410256411
Uncategorized,33,1631733.3333333333,252027.27272727274,6.28530303030303,8021125.0,48.718843595794894,93.60499999999999,93.76,78.76818181818182
Education & Science,31,1354209.2105263157,161615.7894736842,7.861315789473685,3739183.5,37.910493284389574,94.52678571428571,96.8,79.57105263157895
Pets & Animals,28,1304154.5454545454,154253.0303030303,13.016969696969698,6500000.0,45.02057863501484,95.45806451612903,94.80000000000001,80.0969696969697
Games & Toys,27,1830381.4814814816,309674.0740740741,6.454444444444444,8801191.0,36.92307692307692,94.61041666666667,94.39999999999999,81.61111111111111
Photography & Effects,10,1349805.0,166155.0,6.8195,5474718.5,31.55223202052835,96.36875,,78.91
Automotive,9,1049911.111111111,203344.44444444444,4.6594444444444445,3671227.0,59.07165959252971,93.61666666666667,,79.01875
ASMR & Sensory,3,2866666.6666666665,122000.0,3.1816666666666666,10000000.0,54.49591280653951,99.3,91.4,89.35000000000001
Horror & Mystery,2,770050.0,732725.0,7.472499999999999,8103510.5,10.387711531685545,90.2,,75.2
