id,name,tag,content_category,tag_source
.bepdiiday._,Bẹp bẹp,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
.bepdiiday._,Bẹp bẹp,Nhảy,Entertainment,video_tag
.thanhnhan204,Thanh Nhàn,Hài kịch,Entertainment,video_tag
.thanhnhan204,Thanh Nhàn,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
0cgnp,Không có gì ngoài PHIM,Phim ảnh & Truyền hình,Entertainment,video_tag
1101_ndt,Ng Doan Trang,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
1101_ndt,Ng Doan Trang,Nhảy,Entertainment,video_tag
150k_freeship,Bảo bảo có mặt lần thứ n,Hài kịch,Entertainment,video_tag
16_nbt,Em Trâm,Hát nhép,Entertainment,video_tag
16_nbt,Em Trâm,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
1977vlog,1977vlog,Hài kịch,Entertainment,video_tag
1977vlog,1977vlog,Phim ảnh & Truyền hình,Entertainment,video_tag
2001chung,Chung Thị Chung✅,Cuộc sống hàng ngày,Lifestyle,video_tag
2001chung,Chung Thị Chung✅,Hát nhép,Entertainment,video_tag
2001chung,Chung Thị Chung✅,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
22_22_l,Only❣️,Nhân văn & Khoa học,Education & Science,video_tag
22_22_l,Only❣️,Tình yêu & Mối quan hệ lãng mạn,Family & Relationship,video_tag
24h.sports,24h.Sports,Thể thao truyền thống,Sports & Fitness,video_tag
24h.sports,24h.Sports,Tin tức thể thao,Sports & Fitness,video_tag
24h.tinmoi,24h Bóng Đá,Thể thao truyền thống,Sports & Fitness,video_tag
24h.tinmoi,24h Bóng Đá,Tin tức thể thao,Sports & Fitness,video_tag
2sao.vn,2Sao.vn,Tin tức giải trí,Entertainment,video_tag
2sao.vn,2Sao.vn,Tin tức xã hội & Sự kiện,News & Social Issues,video_tag
2t.action99,2T.Action,Thể thao mạo hiểm,Sports & Fitness,video_tag
59.23,Lê Ngân,Cuộc sống hàng ngày,Lifestyle,video_tag
59.23,Lê Ngân,Du lịch,Travel & Outdoor,video_tag
59.23,Lê Ngân,Mukbang & Nếm thức ăn,Food & Beverage,video_tag
59.23,Lê Ngân,Nấu ăn & Công thức nấu ăn,Food & Beverage,video_tag
59.23,Lê Ngân,Đồ uống & Sản xuất,Food & Beverage,video_tag
60giay.com,60giay.com,Tin tức giải trí,Entertainment,video_tag
60giay.com,60giay.com,Tin tức xã hội & Sự kiện,News & Social Issues,video_tag
97.mayonair,Con đàn bà tích cực,Cuộc sống hàng ngày,Lifestyle,video_tag
97.mayonair,Con đàn bà tích cực,Nhảy,Entertainment,video_tag
97.mayonair,Con đàn bà tích cực,Trang phục,Fashion,video_tag
97.mayonair,Con đàn bà tích cực,Âm nhạc,Entertainment,video_tag
_.charmingg._,Chang Chói Chang,Nhảy,Entertainment,video_tag
__lyhan__,LYHAN,Hát nhép,Entertainment,video_tag
__lyhan__,LYHAN,Âm nhạc,Entertainment,video_tag
__thodibar__,Thỏ Music 🎧,Nhảy,Entertainment,video_tag
__thodibar__,Thỏ Music 🎧,Âm nhạc,Entertainment,video_tag
_binz_lala_,Chú Bin Sắp 2 M 🥹,Nhảy,Entertainment,video_tag
_canxuanhuy,Cấn Xuân Huy,Cuộc sống hàng ngày,Lifestyle,video_tag
_canxuanhuy,Cấn Xuân Huy,Trang phục,Fashion,video_tag
_clouddom,Mâyy ☁️,Hát nhép,Entertainment,video_tag
_clouddom,Mâyy ☁️,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
_clouddom,Mâyy ☁️,Trang phục,Fashion,video_tag
