id,name,field_tag,content_category
1977vlog,1977vlog,Tin tức và Giải trí,Entertainment
22_22_l,Only❣️,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
22_22_l,Only❣️,Sản phẩm chăm sóc cá nhân và làm đẹp khác,Beauty & Personal Care
22_22_l,Only❣️,Thực phẩm và Đồ uống,Food & Beverage
22_22_l,Only❣️,Tin tức và Giải trí,Entertainment
59.23,Lê Ngân,Chăm sóc da,Beauty & Personal Care
59.23,Lê Ngân,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
59.23,Lê Ngân,May mặc & Phụ kiện,Fashion
59.23,Lê Ngân,Tin tức và Giải trí,Entertainment
60giay.com,60giay.com,Dịch vụ kinh doanh,Business & Finance
60giay.com,60giay.com,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
60giay.com,60giay.com,Sản phẩm chăm sóc cá nhân và làm đẹp khác,Beauty & Personal Care
60giay.com,60giay.com,Thiết bị,Technology
__lyhan__,LYHAN,Tin tức và Giải trí,Entertainment
_clouddom,Mâyy ☁️,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
_clouddom,Mâyy ☁️,May mặc & Phụ kiện,Fashion
_clouddom,Mâyy ☁️,Mỹ phẩm,Beauty & Personal Care
_clouddom,Mâyy ☁️,Thương mại điện tử (không dùng ứng dụng),Commerce & Review
_cogiaoduyen_,Cô giáo Duyên,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
_cogiaoduyen_,Cô giáo Duyên,May mặc & Phụ kiện,Fashion
_cogiaoduyen_,Cô giáo Duyên,Quần áo nữ,Fashion
_cogiaoduyen_,Cô giáo Duyên,Sản phẩm gia dụng,Home & Living
_iamhuonggggg,_iamhuonggg🦋,Chăm sóc da,Beauty & Personal Care
_iamhuonggggg,_iamhuonggg🦋,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
_iamhuonggggg,_iamhuonggg🦋,Thương mại điện tử (không dùng ứng dụng),Commerce & Review
_imngnn,Hoàng Ngân,Tin tức và Giải trí,Entertainment
_inlil,Chang Nguyễn -INLIL 💕,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
_inlil,Chang Nguyễn -INLIL 💕,Mỹ phẩm,Beauty & Personal Care
_macuchoa_,Mạc Úc Hoa,Tin tức và Giải trí,Entertainment
_namnamnamm,NGÔI SAO PHƯƠNG NAMM,Mẹ & Bé,Family & Relationship
_namnamnamm,NGÔI SAO PHƯƠNG NAMM,Thương mại điện tử (không dùng ứng dụng),Commerce & Review
_namnamnamm,NGÔI SAO PHƯƠNG NAMM,Tin tức và Giải trí,Entertainment
_nhitg_,Nhi Tăng 💖,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
_nhitg_,Nhi Tăng 💖,Sản phẩm chăm sóc cá nhân và làm đẹp khác,Beauty & Personal Care
_pham_bich_nga_,Chuyện Nhà Em Sóc 🐿️,Chăm sóc da,Beauty & Personal Care
_pham_bich_nga_,Chuyện Nhà Em Sóc 🐿️,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
_pham_bich_nga_,Chuyện Nhà Em Sóc 🐿️,Sản phẩm gia dụng,Home & Living
_thanh_pha,Thanh Pha Music 🎧,Tin tức và Giải trí,Entertainment
_thanhthuy.hhvn_,Huỳnh Thanh Thủy,Sức khỏe,Sports & Fitness
_tiennghi06_,Hoàng Tiến Nghị🍀,Game,Gaming
_tradangditam,Bùi Thu Trà,Chăm sóc da,Beauty & Personal Care
_tradangditam,Bùi Thu Trà,Dịch vụ đời sống,Lifestyle
_tradangditam,Bùi Thu Trà,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
_tradangditam,Bùi Thu Trà,Sức khỏe,Sports & Fitness
a.ninhh_,Ninh Anh Bùi,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
a.ninhh_,Ninh Anh Bùi,Nước hoa,Beauty & Personal Care
a.ninhh_,Ninh Anh Bùi,Sản phẩm gia dụng,Home & Living
a.ninhh_,Ninh Anh Bùi,Thương mại điện tử (không dùng ứng dụng),Commerce & Review
actress.lanhuong,Lê Lý Lan Hương,Làm đẹp và chăm sóc cá nhân,Beauty & Personal Care
actress.lanhuong,Lê Lý Lan Hương,May mặc & Phụ kiện,Fashion
