id,name,video_tag,content_category
.bepdiiday._,Bẹp bẹp,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care
.bepdiiday._,Bẹp bẹp,Nhảy,Entertainment
.thanhnhan204,Thanh Nhàn,Hài kịch,Entertainment
.thanhnhan204,Thanh Nhàn,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care
0cgnp,Không có gì ngoài PHIM,Phim ảnh & Truyền hình,Entertainment
1101_ndt,Ng Doan Trang,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care
1101_ndt,Ng Doan Trang,Nhảy,Entertainment
150k_freeship,Bảo bảo có mặt lần thứ n,Hài kịch,Entertainment
16_nbt,Em Trâm,Hát nhép,Entertainment
16_nbt,Em Trâm,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care
1977vlog,1977vlog,Hài kịch,Entertainment
1977vlog,1977vlog,Phim ảnh & Truyền hình,Entertainment
2001chung,Chung Thị Chung✅,Cuộc sống hàng ngày,Lifestyle
2001chung,Chung Thị Chung✅,Hát nhép,Entertainment
2001chung,Chung Thị Chung✅,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care
22_22_l,Only❣️,Nhân văn & Khoa học,Education & Science
22_22_l,Only❣️,Tình yêu & Mối quan hệ lãng mạn,Family & Relationship
24h.sports,24h.Sports,Thể thao truyền thống,Sports & Fitness
24h.sports,24h.Sports,Tin tức thể thao,Sports & Fitness
24h.tinmoi,24h Bóng Đá,Thể thao truyền thống,Sports & Fitness
24h.tinmoi,24h Bóng Đá,Tin tức thể thao,Sports & Fitness
2sao.vn,2Sao.vn,Tin tức giải trí,Entertainment
2sao.vn,2Sao.vn,Tin tức xã hội & Sự kiện,News & Social Issues
2t.action99,2T.Action,Thể thao mạo hiểm,Sports & Fitness
59.23,Lê Ngân,Cuộc sống hàng ngày,Lifestyle
59.23,Lê Ngân,Du lịch,Travel & Outdoor
59.23,Lê Ngân,Mukbang & Nếm thức ăn,Food & Beverage
59.23,Lê Ngân,Nấu ăn & Công thức nấu ăn,Food & Beverage
59.23,Lê Ngân,Đồ uống & Sản xuất,Food & Beverage
60giay.com,60giay.com,Tin tức giải trí,Entertainment
60giay.com,60giay.com,Tin tức xã hội & Sự kiện,News & Social Issues
97.mayonair,Con đàn bà tích cực,Cuộc sống hàng ngày,Lifestyle
97.mayonair,Con đàn bà tích cực,Nhảy,Entertainment
97.mayonair,Con đàn bà tích cực,Trang phục,Fashion
97.mayonair,Con đàn bà tích cực,Âm nhạc,Entertainment
