id,name,country,collab_score,broadcast_score,commerce_score,followers_num,median_views_num,engagement_pct,price_num,field_tags,video_tags,cpv,view_rate_pct,creator_segment,price_tier,potential_group
.bepdiiday._,Bẹp bẹp,Việt Nam,79.6,93.7,,1700000.0,537400.0,5.42,10000000.0,,"Hướng dẫn & mẹo làm đẹp, Nhảy",18.608113137327877,31.61176470588235,Mega,Medium,Cost-efficient
.thanhnhan204,Thanh Nhàn,Việt Nam,88.4,95.8,,645200.0,416900.0,3.47,9933033.0,,"Hài kịch, Hướng dẫn & mẹo làm đẹp",23.82593667546174,64.61562306261625,Macro,Medium,Cost-efficient
0cgnp,Không có gì ngoài PHIM,Việt Nam,80.4,97.9,,271350.0,102500.0,16.67,7452213.0,,Phim ảnh & Truyền hình,72.70451707317073,37.77409250046066,Mid-tier,Medium,General / Low Priority
1101_ndt,Ng Doan Trang,Việt Nam,79.9,91.7,96.8,592700.0,55500.0,13.03,5000000.0,,"Hướng dẫn & mẹo làm đẹp, Nhảy",90.09009009009009,9.363927788088409,Macro,Medium,General / Low Priority
150k_freeship,Bảo bảo có mặt lần thứ n,Việt Nam,92.0,97.9,97.6,900000.0,202000.0,17.12,10503202.0,,Hài kịch,51.9960495049505,22.444444444444443,Macro,Medium,All-round Potential
16_nbt,Em Trâm,Việt Nam,85.2,98.6,,703700.0,637800.0,7.66,51579890.0,,"Hát nhép, Hướng dẫn & mẹo làm đẹp",80.87157416117905,90.63521386954669,Macro,Premium,Awareness Booster
1977vlog,1977vlog,Việt Nam,74.85,,,1800000.0,864450.0,5.140000000000001,26296023.0,Tin tức và Giải trí,"Hài kịch, Phim ảnh & Truyền hình",30.41936838452195,48.025,Mega,High,General / Low Priority
2001chung,Chung Thị Chung✅,Việt Nam,74.7,90.2,,3900000.0,247100.0,4.86,5676872.0,,"Cuộc sống hàng ngày, Hát nhép, Hướng dẫn & mẹo làm đẹp",22.973986240388506,6.3358974358974365,Mega,Medium,Cost-efficient
22_22_l,Only❣️,Việt Nam,93.55,91.0,96.0,425650.0,52050.0,8.285,4000000.0,"Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác, Thực phẩm và Đồ uống, Tin tức và Giải trí","Nhân văn & Khoa học, Tình yêu & Mối quan hệ lãng mạn",76.84918347742556,12.228356631034888,Mid-tier,Low,Collab-ready
24h.sports,24h.Sports,Việt Nam,,,,1800000.0,546700.0,5.88,29879121.0,,"Thể thao truyền thống, Tin tức thể thao",54.65359612218767,30.372222222222224,Mega,High,General / Low Priority
24h.tinmoi,24h Bóng Đá,Việt Nam,,,,2400000.0,335500.0,7.15,39127847.0,,"Thể thao truyền thống, Tin tức thể thao",116.62547540983607,13.979166666666668,Mega,High,General / Low Priority
