ID,Name,Country,Collab Score,Broadcast Score,Commerce Score,Followers,Median Views,Engagement,Price,Field Tags,Video Tags
ongthibalong,Ông Thỉ Bà Long 🌚,Việt Nam,89.9,95.8,94.4,"1,1M","113,6K","9,03%",18.000.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Sản phẩm chăm sóc cá nhân và làm đẹp khác",Tình yêu & Mối quan hệ lãng mạn
lucas_ke_chuyen,Lucas Kể Chuyện,Việt Nam,92.7,98.6,N/A,"784,8K","59,8K","40,46%",3.500.000 VND,,Trò chơi điện tử
utthuyss,Út Thuý,Việt Nam,78.3,93.7,N/A,"1,2M","158,6K","15,68%",13.825.209 VND,,Hát nhép
vtvcab.tintuc,VTVcab Tin tức,Việt Nam,N/A,N/A,N/A,"5,2M","312,3K","4,46%",20.238.000 VND,,Tin tức xã hội & Sự kiện
ngkhangg.008,A ri é,Việt Nam,80.2,97.9,N/A,"1,5M","630,8K","20,53%",14.935.334 VND,,"Tiểu phẩm, Hài kịch"
maitrithuc2020,Mai Trí Thức,Việt Nam,81.1,97.2,N/A,"2,2M","704,4K","16,62%",34.760.565 VND,,"Hát nhép, Hài kịch"
n.huyen2k4,Huyềnn Bạchh Đâyyy🐰,Việt Nam,78.2,94.5,N/A,"2,1M","79,8K","14,92%",7.114.438 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Nhảy, Hướng dẫn & mẹo làm đẹp"
biquyetdodaihoc,Bí quyết đỗ Đại Học Tạ Duy Hải,Việt Nam,76.9,N/A,N/A,"1,5M","23,9K","7,47%",911.543 VND,,"Cuộc sống sinh viên, Giáo dục học đường, Cuộc sống hàng ngày"
nguyen_huynh_tien,Nguyễn Huỳnh Tiên,Việt Nam,81.3,95.9,N/A,"3,1M","57,5K","12,57%",20.000.000 VND,,"Nhảy, Ảnh tự chụp"
nemnotname231203,NEM PHẠM,Việt Nam,77.9,95.8,N/A,"1,4M","36,2K","10,71%",1.430.517 VND,"Làm đẹp và chăm sóc cá nhân, Chăm sóc miệng","Tiểu phẩm, Cuộc sống hàng ngày"
hoailinh_206,Linh thỏ ♡ ̊ ✧,Việt Nam,78.8,93.7,N/A,"1,3M","142,5K","15,58%",17.779.592 VND,Ứng dụng,"Hát nhép, Nhảy"
60giay.com,60giay.com,Việt Nam,76.3,N/A,N/A,"12,6M","228,4K","5,04%",19.861.124 VND,"Dịch vụ kinh doanh, Thiết bị, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Tin tức giải trí, Tin tức xã hội & Sự kiện"
